outcome,param,h,b,se_bank,p_bank,p_wcb,se_dk,p_dk,n
npl_pp_triple,shk_usd,10,0.000637927334829085,0.110619283943331,0.995462160688447,,,,20830
npl_pp_triple,shk_usd_unh,10,0.125850363132569,0.105136782985774,0.246828224736574,,,,20830
npl_pp,shk_usd,11,0.0187850526169982,0.0593376228854432,0.755205008519292,,0.0981632122419879,0.848239244160089,31564
npl_pp_triple,shk_usd,11,-0.0357987762201169,0.109908821126552,0.748397126056174,,,,20564
npl_pp_triple,shk_usd_unh,11,0.177068412522441,0.11231209228322,0.132305668736826,,,,20564
npl_pp,shk_usd,12,-0.00340727139251753,0.0492991759117858,0.945705207829413,0.948948948948949,0.0961551387260334,0.971732759736511,31126
npl_pp_triple,shk_usd,12,-0.0612417990571975,0.104624166712326,0.566001970195614,,,,20288
npl_pp_triple,shk_usd_unh,12,0.186401687361818,0.120287378664543,0.139644008791288,,,,20288
npl_pp,shk_usd,13,-0.0449328759109102,0.0546632279640321,0.422459628313764,,0.118963727951608,0.705651744972896,30746
npl_pp_triple,shk_usd,13,-0.110983521963258,0.113130482875165,0.34033796385491,,,,20040
npl_pp_triple,shk_usd_unh,13,0.175095086820731,0.129587861592189,0.194350734091193,,,,20040
npl_pp,shk_usd,14,-0.053182384720164,0.0578236673347654,0.370578969782927,,0.13477246635635,0.693131708443725,30370
npl_pp_triple,shk_usd,14,-0.12763998010961,0.108777361385097,0.256811916509514,,,,19794
npl_pp_triple,shk_usd_unh,14,0.219718867053161,0.146795489870087,0.152789017979236,,,,19794
npl_pp,shk_usd,15,-0.100008089838183,0.0523012655012438,0.0728595862271586,,0.128725334271585,0.437211456650399,29990
npl_pp_triple,shk_usd,15,-0.212496540133606,0.111057479727538,0.0726911510268199,,,,19546
npl_pp_triple,shk_usd_unh,15,0.261558607578395,0.154528369703023,0.108771587913863,,,,19546
npl_pp,shk_usd,16,-0.0976970911893124,0.0657424034049359,0.155573286798127,,0.153185269212842,0.523622892238706,29608
npl_pp_triple,shk_usd,16,-0.205476069225954,0.110888492729639,0.0813232325084308,,,,19298
npl_pp_triple,shk_usd_unh,16,0.218533449833355,0.150419475707258,0.164481091702449,,,,19298
npl_pp,shk_usd,17,-0.133668617480861,0.0752115341367605,0.093424190915949,,0.175020143794211,0.445026514010856,29238
npl_pp_triple,shk_usd,17,-0.151986844871934,0.109903784843026,0.184589280602036,,,,19054
npl_pp_triple,shk_usd_unh,17,0.107490345272095,0.131922192287379,0.426454074898665,,,,19054
npl_pp,shk_usd,18,-0.12146272470443,0.0735525088852087,0.117012334027508,,0.167625719120162,0.468693327141606,28866
npl_pp_triple,shk_usd,18,-0.179578269218608,0.124639249001086,0.167810761201558,,,,18816
npl_pp_triple,shk_usd_unh,18,0.171050697133158,0.144365564355034,0.252379321581731,,,,18816
